content;Sentimen
Masih ada kendala, jual beli mobil bekas, nomor masih nyangkut di akun orang lain dan hilang kontak, apakah bisa di daftarkan oleh pembeli terbaru? Tolong dong solusinya, trus mobil tua harus pakai pertamax?;Negatif
kita fhoto in KTP,STNK dari jarak dekat supaya jelas maksud saya..eh dibilang ukuran file terlalu besar.kalau saya fhoto kan agak sedikit menjauh..di bilang enggak jelas..jadi gimana???? yang benar dong.;Negatif
Pusing ..daftar tdk msk2....;Negatif
Menyebalkan pokoke... Bikin emosi tok, mbulet koyok entut daftar re;Negatif
Kenapa sih mau daftar nya ribet banget selalu nik dan password salah terus aneh aplikasi ini tuh;Negatif
Aplikasi taeh Ra my Pertamina reh Mak ruet taeh jih......bikin susah aja peraturan my Pertamina corot reh;Negatif
0k;Positif
Tidak bermutu;Negatif
Aplikasi sampah,masyarakat sudah sulit malah tambah di persulit;Negatif
"DAFTAR SUSAH AMAT, FOTO UDAH JELAS DIBILANG GA JELAS"". MASA TIAP KALI SALAH NULIS VERIFIKASI HRUS DI PENCET SATU"" BUAT NGETIK ULANG, UDAH APKNY LEMOT BANGET, LOADING LAMA SMPE VERIFIKASI KEKIRIN 2 KALI.";Negatif
Hmmmm.... Ga penting bgt. Politik inih... Capek deeh...;Negatif
Daftar kok susah;Negatif
Bad. Ssh login;Negatif
Pendaftaran susah dan ribet maaf kalao saya kasih bintang 2 karna pendaftaran ny ribet;Negatif
Kalok blm mampu gk usah bikin aplikasi yg menyusahkan di akses;Negatif
pdhl mobil saya avanza kok bbm nya bio solar, jd gak bs isi pertalite, semoga terkutuk yg bikin systemnya;Negatif
Aplikasi menyusahkan. Google tolong hapus aplikasi ini.!!!;Negatif
Ruwet... Sudah itu saja... Capek kerja di tambah pusing daftar my Pertamina... Tlng di permudah cara pendaftaran nya..;Negatif
Aplikasi gak guna... Riwayat transaksi gak ada ....;Negatif
Good;Positif
Ok;Positif
Saya kira bagus, ternyata bad.. dan percuma register klw hasilnya mengecewakan.. uninstall aja;Negatif
aplikasi sangat ribet;Negatif
Mengapa sangat susah mendaftar mypertamina yaaa;Negatif
Mantap;Positif
Aplikasi buruk yg menyusahkan rakyat.;Negatif
Bagus;Positif
Pelayanan dipertambah lebih baik lg;Positif
Belum bermanfaat di daerah kami;Negatif
status di tolak...padahal data diminta sdh di lengkapi;Negatif
Mantap;Positif
klu isi pertalite kasih poin juga dong;Positif
Saya tidak dan belum pernah mendaftarkan NIK dan NOPOL kendaraan, namun saya gagal mendaftar karena selalu mendapat keterangan NIK dan NOPOL sudah terdaftar, ntah saya yang tidak paham bagaimana cara mendaftar yang baik dan benar atau mungkin nantinya akan ada bisnis calo dengan biaya untuk daftar akun my Pertamina ? Hmmmm.;Negatif
Rumit;Negatif
Terimakasih atas terdaftarnya saya di aplikasi my pertamina tuk memudahkan saya pengisian BBM;Positif
Mantap;Positif
Antara iya dan tidak;Positif
Akses susah, daftar BBM subsidi susah.;Negatif
Saya sudah mendapat teta bulum ada notapokasih belumada ok/ yes ( hasil dari Pertamina ada apa;Negatif
Bikin ribet, sampah. Mau ngisi BBM yang memang hak gue yang udah di atur undang undang kenapa Lo ribetin.;Negatif
Semoga harganya bisa turun lagi;Negatif
Sy salah isi data dan minta penghapusan data ngak ada konfirmasi;Negatif
Saya mau bikin gak jadi2 , akhirnya bayar 50k beres wkwk . +62;Negatif
Tidak membantu, tidak memudahkan konsumen, tidak fair dlm record loh pengisian BBM pada kendaraan.;Negatif
cukup rumit berbelit belit;Negatif
Aplikasi gatel;Negatif
indonesia makin ribet!!! nyari solar susah mlh dibikin ribet;Negatif
Aplikasi ga jelas...daftar dari 2 hari yg lalu ga perna bisa;Negatif
Makin mudah;Positif
Aplikasi yang sangat jelek daftar berbulan bulan sampai blm beres verifikasi;Negatif
Untuk mengambil foto stnk gk bisa di fokuskan ataupun diatur cahayanya, ada batas megabitnya juga maunya apa, minta foto jelas tapi kamera dari aplikasinya gk bisa difokuskan, menyusahkan.;Negatif
Ribet;Negatif
Ok;Positif
Alhamdulilah pengalaman saya mengunakan aplikasinya lancarrr .;Positif
Sangat membantu untuk mengetahui siapa saja yang berhak mendapakan BBM bersubsidi , dan mengerti jumlah stok dan ketubuhan yang harus tersedia dalam waktu yang ditentukan oleh pemerintah , dan juga menpermudah dalam pengisian di spbu .;Positif
Tak ada antrian pamjang,cepat proses pengisian.;Positif
Mau upload gambar untuk ngajuin subsidi susahnya minta ampun.;Negatif
Berkali2 daftar ggal terus,, bisa gk sih bikin apps yg bagus dikit? Projek nasional kok...;Negatif
"G jelas... Udh dftar lamaa... Verifikasi sampe skrg g muncul"". Kalau belom siaap aplikasinya... Jngan di paksain bossssss..";Negatif
Kuranggggg;Negatif
Sangat berbelit belit seperti memberantas mafianya..;Negatif
Good;Positif
Beli udh mulai pake barcode..tp info pembelian atau riwayat g muncul di aplikasi..trus apa gunanya d scan..?😂😂konyol..;Negatif
Makasih sudah membantu memisah kan uang bensin saya biar gak ke pakai lagi depositt slot wkwkwk;Positif
Aplikasi ampas banyak kendala di server gk guna solar masih tetep langka banyak bug,maksa mau bikin aplikasi bukannya mempermudah malah mempersulit;Negatif
membantu lebih cepat pengisian bbm mobil :);Positif
Bagus;Positif
aplikasi tolo gausah hubungkan ke link aja, mending ke dompet digital lainnya. link ajah sama buruk nya sama aplikasi ini. saya sedang diluar kota dan tidak bisa mengisi bbm. masa mengisi bbm dipersulit, tinggal bayar ajah susah;Negatif
Semoga indonesia mendapatkan orang2 yg berkompeten di bidangnya masing2 agar Indonesia lebih maju lagi, Amin😇;Positif
👎;Negatif
User experience : 5/10 Pembayarannya ribet;Negatif
Tepat;Positif
Sangat bagus rekomendid buat semua kalangan;Positif
𝙆𝙚𝙡𝙪𝙖𝙝𝙖𝙣 𝙣𝙤𝙢𝙚𝙧 𝙨𝙖𝙩𝙪 𝙖𝙙𝙖𝙡𝙖𝙝 𝙠𝙝𝙪𝙨𝙪𝙨𝙣𝙮𝙖 𝙙𝙞 𝙙𝙖𝙚𝙧𝙖𝙝 𝙥𝙖𝙠𝙤𝙣𝙜 𝙙𝙖𝙣 𝙗𝙡𝙪𝙢𝙗𝙪𝙣𝙜𝙖 𝙙𝙖𝙣 𝘿𝙞 𝙨𝙚𝙡𝙪𝙧𝙪𝙝 𝙠𝙖𝙗𝙪𝙥𝙖𝙩𝙚𝙣 𝙥𝙖𝙢𝙚𝙠𝙖𝙨𝙖𝙣 𝙟𝙖𝙬𝙖 𝙩𝙞𝙢𝙪𝙧 𝙏𝙤𝙡𝙤𝙣𝙜 𝙙𝙖𝙝𝙪𝙡𝙪𝙠𝙖𝙣 𝙥𝙚𝙣𝙜𝙚𝙣𝙙𝙖𝙧𝙖 𝙟𝙖𝙣𝙜𝙖𝙣 𝙪𝙩𝙖𝙢𝙖𝙠𝙖𝙣 𝙥𝙚𝙣𝙜𝙞𝙨𝙞𝙖𝙣 𝙟𝙧𝙞𝙜𝙚𝙣 𝙥𝙚𝙙𝙖𝙜𝙖𝙣𝙜 𝙚𝙘𝙚𝙧𝙖𝙣 𝙠𝙞𝙩𝙖 𝙖𝙣𝙩𝙧𝙞 𝙥𝙖𝙣𝙖𝙨-𝙥𝙖𝙣𝙖𝙨𝙖𝙣 𝙢𝙚𝙢𝙖𝙣𝙟𝙖𝙣𝙜 𝙜𝙖𝙧𝙖2 𝙢𝙚𝙣𝙙𝙖𝙝𝙪𝙡𝙪𝙠𝙖𝙣 𝙥𝙚𝙣𝙜𝙞𝙨𝙞𝙖𝙣 𝙟𝙧𝙞𝙜𝙚𝙣.;Positif
Mantappp;Positif
Good job;Positif
Respon lambat di pemberitahuan 3 hari ini udah masuk 6 hari tetap gak ada respon;Negatif
Belum pernah pakai karena pom bensinnya tidak menyediakan fasilitas ini;Negatif
daftarnya sangat mudah dan sangat membantu untuk dapatkan lokasi spbu terdekat , mungkin yg belum bisa harus lebih sabar lagi ya 😁;Positif
Aplikasi keluar sendiri masih di pertengahan pendaftaran , NIK ktp udah terisi trus ulang balik awal, sekali mau daftar lagi masukan NIK nya tiba tiba NIK sudah terdaftar cemana itu, sedangkan belum selesai;Negatif
Tidak adanya konfirmasi kode verifikasi pendaftaran diterima atau tidaknya. Membuat pekerjaan suami menjadi terhambat, saat menghubungi cs tidak dapat menyelesaikan masalah dgn alasan beda devisi pekerjaan. Jika memang terlalu banyak karyawan yg sekiranya tidak berguna untuk apa digaji terus dari duit rakyat. Harapan pengguna menghubungi cs agar masalah bisa terselesaikan dengan cepat, ini jawaban cs harap sabar menunggu dan tidak ada konfirmasi apa yg kami tunggu;Negatif
Sangat buruk!!!;Negatif
Aplikasi buruk, sangat buruk memperumit dan buruk!!!! Very bad!!!!;Negatif
Aplikasi sangat buruk Nik sudah daftar dan suruh cek email,tp email apa pun tidak masuk dari mypertamina... Sangat jelek tak membantu... Malah menyusahkan;Negatif
Aplikasi sangat buruk, mnta kode Verifikasi dri email tpi gk ada sama skli email masuk, mau nggu smpe kpn bru bisa terverifikasi?? Emgnya BBM bisa di isi pke air hadehh smakin gk jelas;Negatif
Mantap;Positif
Sanggat membantu perjalanan saya;Positif
Knpa gak terima;Negatif
Halah;Negatif
Sampah!;Negatif
Belgedes !!! Ruwet Setau sya adanya aplikasi itu mempermudah, ini ruwet. Berkali konfirmasi email tapi tidak masuk diemail.;Negatif
Bagus lah;Positif
Aneh, NIK dan Password udah bener tapi keterangan salah terus. Jadi ga bisa daftar subsidi cepat. Aplikasi buruk bkin ribet;Negatif
Ok;Positif
Membuat nambah ribet,pndaftaran sangat sulit ter acc;Negatif
Aplikasi gajelas ga guna minimal udah memenuhi standar lah;Negatif
Sangat buruk Aplikasi.......;Negatif
Xk9;Negatif
Sangat buruk kalau tidak sanggup membuat aplikasi yg baik setidaknya balikan metode awal pembelian tidak ribet dasar Indonesia saran bagi yang mau daftar tidak usah download aplikasi ini biar ditindak lanjuti saja;Negatif
Semoga yg bikin kebijakan dan aplikasi ini hidupnya gak bahagia dan penuh dosa aamiin. Aplikasi gblok....;Negatif
ribetttt nya minta ampunnn... isi bensin suruh pake app tpi daftar nya aja ribettt banget,,, status di tolak trusss... kaya gak niat banget bikin aplikasi nya;Negatif
Sangat buruk dan tidak bermanfaat, semoga aplikasi nya di hapus dan tidak di izin kan oleh negara , Pertamina mengecewakan;Negatif
Baru mau coba;Positif
Maksain bngt. Pake barkot jadi antri makan waktu bsa 1/2 jam. Biar ga antri bebasin aja kaya biasa nya. Subsidi ga tepat.;Negatif
Bintang yang berbicara;Positif
GAK NIAT SEPERTINYA BIKIN APLIKASI,ATAU BELUM SIAP SAMA SEPERTI INI PAKAI SISTEMNYA,KELUHAN NYA SAMA SEPERTI YG LAIN CUKUP MENJAWAB DENGAN BINTANG SATU AJA,TOLONG SEGERA DI PERBAIKI DAN DI PERMUDAH;Negatif
Ok;Positif
"Aplikasi burik gak bisa login selalu muncul ""NIK dan Password Salah"" di cek ke kecamatan nomor NIK gw bener. Aplikasinya aja yang salah. Udah sulit dipersulit hadeuh";Negatif
Malah nyusahin orang;Negatif
ribet;Negatif
Perbaiki sistemnya;Negatif
Ini gimana sih,katanya harus pake aplikasi utk beli BBM bersubsidi tp aplikasi nya gk bisa di buka..kalau sengaja di buat ribet sudahlah cabut aja subsidi BBM sekalian;Negatif
Kurang pas utk kami, krena runitnya,, kita lupa paswor dan dikirim ke email malah tidak ada stupun pesan masuk ke email kita,,,;Negatif
Prosesny lambat, selesai daftar dan upload KTP, STNK, photo mobill dan mdptkan QR barcode TIDAK bisa...;Negatif
Daftar nya susah bet dah menguji kesabaran mana lagi puasa lagi;Negatif
Meresahkan, orang Di suruh Pake Barcode. Faktanya Masih Bisa isi pake NoPol, di Curi deh Kuota Saya Hari Ini;Negatif
Ngluncurin aplikasi kaya gak guna, loading ke pembayan gak bisa bisa;Negatif
Ko saya daptar my Pertamina gagal terus ya;Negatif
Mantap;Positif
Gajelas, nyusahin orang!!!!!!!!;Negatif
aplikasi gak jelas;Negatif
Mau menghubungkan dengan akun ovo/gopay susah;Negatif
Harus berulang ulang buang buang waktu seolah olah hanya untuk aplikasi ini saja;Negatif
Aplikasi rumit,sulit, sukar, angel g jelas, mbuletisasi, pkek NIK jg malah jd kuatir, pdhl kan cm buat pembelian, kita g mnta tp beli pkek uang cas.. malah dipersulit, gpp pakai aplikasi tp seenggaknya simtemnya dilancarin dl aplikasinya jg, sering erorr g jelas;Negatif
Aplikasi gk guna;Negatif
Pelayanan Terbaik;Positif
Waktu dowlod QR susah;Negatif
Cukup epektip adanya barkot kmi setuju;Positif
Semoga bermanfaat app ini;Positif
Mypertamina ga bisa dipakai transaksi di SPBU. beberapa SPBU setiap sy mau transaksi via mypertamina pegawai SPBU bilang ga bisa....;Negatif
Testing;Positif
Lambat keluarkan QR Code;Negatif
This is an awful App. Ngisinya ngajak berantem.;Negatif
baru belajar;Positif
Bagus;Positif
Sekian lama baru bisa lepas dari penolakan pembelian tanpa barkot my Pertamina;Positif
Aplikasi apa ini, daftar gak bisa bisa, bikin jengkel doang;Negatif
Baik;Positif
Buruk dan sangat jelek setahun yg lalu sudah ada QR CODE saya tpi sekarang tidak muncul;Negatif
Tidak jelas. Katanya masyarakat yang keliru cara pakainya, tapi emang aplikasinya yang tidak jelas;Negatif
Saya udah upload foto STNK bolak balik berulang tapi selalu dapat notifikasi STNK foto kurang jelas. Gagal terus. Gimana lah ga jelas bener;Negatif
Ok;Positif
Bumi ini sudah sangat tua..jaman pun berubah..pemimpin pun makin mempersulit semua ny,klw mau bergerak sedikit pun perlu uang..pemimpin sekarang sama pemimpin jaman kini sangat2 jau berbeda..jdi smua ny tergantung pemimpinny.;Negatif
Data dan foto udah benar semua tapi tetap aja blg tidak sesuai... Aplikasi masok angin... Aturan dbuat aplikasi gak sempurna....;Negatif
kek gini aplikasi bumn? ampasss;Negatif
Aplikasi ga jelasssss, nyusahin, bukan nya mempermudah malah bikin ribet, gagunaaaa, nyusahin orang aja;Negatif
Pengalaman pas udah mau selesai upload foto mobil sm stnk tiba-tiba lag padahal sinyal wifi bagus, saya coba lah ganti pake internet hasilnya juga sama aja. Udah susah-susah foto buat ngga blur malah akhirnya ngga bisa diupload. Niat hati mau upload dari galeri aja biar mudah ngga fota-foto lagi, malah tertera kalau ukuran file fotonya kebesaran.;Negatif
Susah pengajuan lama kusut;Negatif
Pertamina sebesar itu bikin aplikasi bad banget. Payaaah;Negatif
