userName;score;at;content
Tri Joko;4;26/03/2023 14:08;Masih ada kendala, jual beli mobil bekas, nomor masih nyangkut di akun orang lain dan hilang kontak, apakah bisa di daftarkan oleh pembeli terbaru? Tolong dong solusinya, trus mobil tua harus pakai pertamax?
Didi Amin;1;26/03/2023 14:01;kita fhoto in KTP,STNK dari jarak dekat supaya jelas maksud saya..eh dibilang ukuran file terlalu besar.kalau saya fhoto kan agak sedikit menjauh..di bilang enggak jelas..jadi gimana???? yang benar dong.
Serang Tarsisius;5;26/03/2023 12:41;Pusing ..daftar tdk msk2....
SU TARTIK;1;26/03/2023 12:10;Menyebalkan pokoke... Bikin emosi tok, mbulet koyok entut daftar re
Ucu Witha;1;26/03/2023 11:32;Kenapa sih mau daftar nya ribet banget selalu nik dan password salah terus aneh aplikasi ini tuh
Agung Proline;1;26/03/2023 11:17;Aplikasi taeh Ra my Pertamina reh Mak ruet taeh jih......bikin susah aja peraturan my Pertamina corot reh
H3ru Jr;5;26/03/2023 09:52;0k
gondrong kribo;1;26/03/2023 09:45;Tidak bermutu
Chanqiva Qishastul;1;26/03/2023 09:19;Aplikasi sampah,masyarakat sudah sulit malah tambah di persulit
Tuty jap Wiwin;1;26/03/2023 08:17;"DAFTAR SUSAH AMAT, FOTO UDAH JELAS DIBILANG GA JELAS"". MASA TIAP KALI SALAH NULIS VERIFIKASI HRUS DI PENCET SATU"" BUAT NGETIK ULANG, UDAH APKNY LEMOT BANGET, LOADING LAMA SMPE VERIFIKASI KEKIRIN 2 KALI."
Yaumil Ihsan;1;26/03/2023 08:05;Hmmmm.... Ga penting bgt. Politik inih... Capek deeh...
Vhanttd Bhavell;1;26/03/2023 07:56;Daftar kok susah
Ashria Monarika;1;26/03/2023 07:00;Bad. Ssh login
Slamet Slam;2;26/03/2023 05:49;Pendaftaran susah dan ribet maaf kalao saya kasih bintang 2 karna pendaftaran ny ribet
Nafi aulia Alfa;1;26/03/2023 04:58;Kalok blm mampu gk usah bikin aplikasi yg menyusahkan di akses
Nur Rois;1;26/03/2023 04:49;pdhl mobil saya avanza kok bbm nya bio solar, jd gak bs isi pertalite, semoga terkutuk yg bikin systemnya
Sutri Eken;1;26/03/2023 04:29;Aplikasi menyusahkan. Google tolong hapus aplikasi ini.!!!
Nur Aeni123;1;26/03/2023 04:26;Ruwet... Sudah itu saja... Capek kerja di tambah pusing daftar my Pertamina... Tlng di permudah cara pendaftaran nya..
CCTV Isor Talang;1;26/03/2023 04:08;Aplikasi gak guna... Riwayat transaksi gak ada ....
Indra jaya Rukmana;5;26/03/2023 04:07;Good
Fernando Nainggolan;5;26/03/2023 03:49;Ok
Agus Haryanto;1;26/03/2023 03:47;Saya kira bagus, ternyata bad.. dan percuma register klw hasilnya mengecewakan.. uninstall aja
Zahirin gopyou;1;26/03/2023 02:59;aplikasi sangat ribet
Saman Abid;5;26/03/2023 02:55;Mengapa sangat susah mendaftar mypertamina yaaa
Bang Ikhy04;5;26/03/2023 02:04;Mantap
Yudi Fahrizal;1;26/03/2023 01:59;Aplikasi buruk yg menyusahkan rakyat.
egi saputra;4;26/03/2023 00:58;Bagus
Suparmangondrong Gondrong;5;25/03/2023 23:26;Pelayanan dipertambah lebih baik lg
Bpk Alexia Rumbo;2;25/03/2023 22:46;Belum bermanfaat di daerah kami
muklir amin;2;25/03/2023 21:52;status di tolak...padahal data diminta sdh di lengkapi
FIRMANSYAH;5;25/03/2023 21:41;Mantap
Maulinda Fatwa Ulfa;5;25/03/2023 20:57;klu isi pertalite kasih poin juga dong
JOREINA INAMAS GINTING;1;25/03/2023 20:43;Saya tidak dan belum pernah mendaftarkan NIK dan NOPOL kendaraan, namun saya gagal mendaftar karena selalu mendapat keterangan NIK dan NOPOL sudah terdaftar, ntah saya yang tidak paham bagaimana cara mendaftar yang baik dan benar atau mungkin nantinya akan ada bisnis calo dengan biaya untuk daftar akun my Pertamina ? Hmmmm.
cah loran;1;25/03/2023 19:32;Rumit
MUHAMMAD NASIR;5;25/03/2023 16:48;Terimakasih atas terdaftarnya saya di aplikasi my pertamina tuk memudahkan saya pengisian BBM
Ananda Yatmi;4;25/03/2023 16:28;Mantap
herman herman;4;25/03/2023 15:44;Antara iya dan tidak
